Player,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,rebounds/min,assists/min,blocks/min,stls/min,fouls/min,points/min,turnovers/min
ajare-sanni,Fri 3/11,vsLBSU,L67-64,37.0,5-14,35.7,2-6,33.3,3-3,100.0,3.0,6.0,0.0,1.0,1.0,2.0,15.0,0.08,0.16,0.0,0.03,0.03,0.41,0.05
ajare-sanni,Thu 3/10,vsUCI,W78-69,27.0,6-8,75.0,4-4,100.0,4-4,100.0,2.0,2.0,0.0,1.0,2.0,3.0,20.0,0.07,0.07,0.0,0.04,0.07,0.74,0.11
ajare-sanni,Thu 3/3,vsHAW,W67-60,24.0,2-6,33.3,1-4,25.0,2-2,100.0,3.0,3.0,0.0,1.0,2.0,1.0,7.0,0.12,0.12,0.0,0.04,0.08,0.29,0.04
ajare-sanni,Tue 3/1,vsCSUN,W70-61,20.0,2-5,40.0,2-2,100.0,2-2,100.0,1.0,2.0,0.0,0.0,2.0,1.0,8.0,0.05,0.1,0.0,0.0,0.1,0.4,0.05
ajare-sanni,Sat 2/26,@UCR,W97-90 2OT,27.0,3-7,42.9,2-4,50.0,1-2,50.0,3.0,3.0,0.0,0.0,3.0,1.0,9.0,0.11,0.11,0.0,0.0,0.11,0.33,0.04
ajare-sanni,Thu 2/24,@UCD,W76-69 OT,7.0,0-2,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0
ajare-sanni,Sat 1/29,@HAW,L65-62,23.0,3-6,50.0,1-3,33.3,2-4,50.0,2.0,3.0,0.0,2.0,0.0,0.0,9.0,0.09,0.13,0.0,0.09,0.0,0.39,0.0
ajare-sanni,Tue 1/25,@CSUN,W72-45,27.0,2-8,25.0,1-5,20.0,1-2,50.0,4.0,4.0,0.0,1.0,1.0,1.0,6.0,0.15,0.15,0.0,0.04,0.04,0.22,0.04
ajare-sanni,Sat 1/15,@CSUF,L79-73,37.0,4-14,28.6,1-6,16.7,3-4,75.0,1.0,5.0,0.0,3.0,3.0,1.0,12.0,0.03,0.14,0.0,0.08,0.08,0.32,0.03
ajare-sanni,Thu 1/13,@LBSU,L65-58,35.0,3-13,23.1,0-5,0.0,1-2,50.0,3.0,3.0,0.0,4.0,2.0,3.0,7.0,0.09,0.09,0.0,0.11,0.06,0.2,0.09
ajare-sanni,Thu 12/30,@UCSD,L85-83 OT,38.0,11-21,52.4,4-8,50.0,3-5,60.0,7.0,5.0,0.0,2.0,3.0,2.0,29.0,0.18,0.13,0.0,0.05,0.08,0.76,0.05
ajare-sanni,Wed 12/22,vsIDST,W56-43,32.0,1-7,14.3,0-1,0.0,4-4,100.0,5.0,4.0,0.0,2.0,1.0,0.0,6.0,0.16,0.12,0.0,0.06,0.03,0.19,0.0
ajare-sanni,Sun 12/19,vsFAMU,W73-62,25.0,2-7,28.6,0-1,0.0,6-6,100.0,1.0,2.0,0.0,2.0,3.0,1.0,10.0,0.04,0.08,0.0,0.08,0.12,0.4,0.04
ajare-sanni,Tue 12/14,@PAC,L80-71 OT,35.0,7-13,53.8,4-9,44.4,0-0,0.0,5.0,0.0,0.0,1.0,3.0,3.0,18.0,0.14,0.0,0.0,0.03,0.09,0.51,0.09
ajare-sanni,Sat 12/11,@SMC,L80-59,24.0,2-8,25.0,0-3,0.0,1-2,50.0,1.0,2.0,0.0,0.0,1.0,3.0,5.0,0.04,0.08,0.0,0.0,0.04,0.21,0.12
ajare-sanni,Sun 12/5,vsCLU,W87-66,19.0,3-9,33.3,2-7,28.6,0-0,0.0,0.0,4.0,0.0,1.0,2.0,2.0,8.0,0.0,0.21,0.0,0.05,0.11,0.42,0.11
ajare-sanni,Fri 12/3,vsPEPP,W86-74,32.0,3-8,37.5,1-4,25.0,5-6,83.3,3.0,3.0,0.0,0.0,2.0,0.0,12.0,0.09,0.09,0.0,0.0,0.06,0.38,0.0
ajare-sanni,Mon 11/29,vsUTA,L70-62,22.0,0-7,0.0,0-2,0.0,2-2,100.0,1.0,2.0,0.0,0.0,4.0,3.0,2.0,0.05,0.09,0.0,0.0,0.18,0.09,0.14
ajare-sanni,Wed 11/24,vsUAPB,W86-58,24.0,4-9,44.4,1-3,33.3,3-4,75.0,5.0,1.0,0.0,1.0,1.0,0.0,12.0,0.21,0.04,0.0,0.04,0.04,0.5,0.0
ajare-sanni,Sat 11/20,vsCHIC,W81-50,18.0,2-5,40.0,1-3,33.3,5-7,71.4,5.0,2.0,0.0,0.0,1.0,0.0,10.0,0.28,0.11,0.0,0.0,0.06,0.56,0.0
ajare-sanni,Mon 11/15,@WSU,L73-65,30.0,4-17,23.5,1-6,16.7,3-4,75.0,4.0,5.0,0.0,1.0,2.0,1.0,12.0,0.13,0.17,0.0,0.03,0.07,0.4,0.03
ajare-sanni,Wed 11/10,vsSFSU,W119-65,20.0,2-7,28.6,1-5,20.0,2-2,100.0,0.0,3.0,0.0,0.0,1.0,3.0,7.0,0.0,0.15,0.0,0.0,0.05,0.35,0.15
ajay-mitchell,Fri 3/11,vsLBSU,L67-64,37.0,5-9,55.6,0-2,0.0,1-1,100.0,5.0,2.0,1.0,0.0,3.0,2.0,11.0,0.14,0.05,0.02702702702702703,0.0,0.08,0.3,0.05
ajay-mitchell,Thu 3/10,vsUCI,W78-69,33.0,1-10,10.0,0-2,0.0,5-6,83.3,2.0,3.0,0.0,1.0,3.0,3.0,7.0,0.06,0.09,0.0,0.03,0.09,0.21,0.09
ajay-mitchell,Thu 3/3,vsHAW,W67-60,34.0,3-7,42.9,0-1,0.0,1-1,100.0,2.0,2.0,0.0,0.0,5.0,1.0,7.0,0.06,0.06,0.0,0.0,0.15,0.21,0.03
ajay-mitchell,Tue 3/1,vsCSUN,W70-61,36.0,6-9,66.7,1-3,33.3,4-5,80.0,4.0,3.0,0.0,0.0,2.0,2.0,17.0,0.11,0.08,0.0,0.0,0.06,0.47,0.06
ajay-mitchell,Sat 2/26,@UCR,W97-90 2OT,43.0,11-17,64.7,2-2,100.0,6-9,66.7,1.0,4.0,0.0,1.0,4.0,5.0,30.0,0.02,0.09,0.0,0.02,0.09,0.7,0.12
ajay-mitchell,Thu 2/24,@UCD,W76-69 OT,41.0,10-15,66.7,2-3,66.7,9-12,75.0,4.0,3.0,0.0,0.0,3.0,3.0,31.0,0.1,0.07,0.0,0.0,0.07,0.76,0.07
ajay-mitchell,Sat 2/19,vsLBSU,W84-71,39.0,9-15,60.0,0-1,0.0,2-2,100.0,0.0,9.0,0.0,3.0,2.0,1.0,20.0,0.0,0.23,0.0,0.08,0.05,0.51,0.03
ajay-mitchell,Thu 2/17,vsCSUF,L67-58,33.0,2-8,25.0,0-1,0.0,2-5,40.0,2.0,3.0,0.0,1.0,4.0,1.0,6.0,0.06,0.09,0.0,0.03,0.12,0.18,0.03
ajay-mitchell,Sat 2/12,@CP,W69-64,36.0,6-11,54.5,2-3,66.7,11-12,91.7,4.0,1.0,0.0,0.0,1.0,2.0,25.0,0.11,0.03,0.0,0.0,0.03,0.69,0.06
ajay-mitchell,Thu 2/10,@CSUB,W74-62,30.0,8-12,66.7,0-1,0.0,5-6,83.3,3.0,2.0,1.0,1.0,3.0,1.0,21.0,0.1,0.07,0.03333333333333333,0.03,0.1,0.7,0.03
ajay-mitchell,Sat 2/5,vsUCSD,W84-48,19.0,5-9,55.6,0-3,0.0,0-1,0.0,4.0,2.0,0.0,0.0,4.0,1.0,10.0,0.21,0.11,0.0,0.0,0.21,0.53,0.05
ajay-mitchell,Thu 2/3,vsUCI,L53-52,38.0,4-10,40.0,0-1,0.0,0-0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,8.0,0.03,0.03,0.0,0.05,0.05,0.21,0.03
ajay-mitchell,Sat 1/29,@HAW,L65-62,36.0,5-9,55.6,2-3,66.7,4-6,66.7,2.0,2.0,1.0,0.0,5.0,0.0,16.0,0.06,0.06,0.027777777777777776,0.0,0.14,0.44,0.0
ajay-mitchell,Tue 1/25,@CSUN,W72-45,26.0,0-2,0.0,0-1,0.0,0-0,0.0,2.0,8.0,0.0,0.0,3.0,1.0,0.0,0.08,0.31,0.0,0.0,0.12,0.0,0.04
ajay-mitchell,Sat 1/15,@CSUF,L79-73,36.0,1-5,20.0,0-1,0.0,3-4,75.0,2.0,5.0,0.0,1.0,4.0,4.0,5.0,0.06,0.14,0.0,0.03,0.11,0.14,0.11
ajay-mitchell,Thu 1/13,@LBSU,L65-58,37.0,6-12,50.0,1-2,50.0,2-3,66.7,2.0,2.0,0.0,1.0,4.0,1.0,15.0,0.05,0.05,0.0,0.03,0.11,0.41,0.03
ajay-mitchell,Wed 12/22,vsIDST,W56-43,37.0,5-10,50.0,0-3,0.0,4-4,100.0,3.0,2.0,0.0,1.0,3.0,1.0,14.0,0.08,0.05,0.0,0.03,0.08,0.38,0.03
ajay-mitchell,Sun 12/19,vsFAMU,W73-62,27.0,6-9,66.7,1-3,33.3,0-1,0.0,3.0,2.0,0.0,2.0,5.0,2.0,13.0,0.11,0.07,0.0,0.07,0.19,0.48,0.07
ajay-mitchell,Tue 12/14,@PAC,L80-71 OT,35.0,2-5,40.0,0-1,0.0,1-1,100.0,0.0,7.0,0.0,2.0,0.0,0.0,5.0,0.0,0.2,0.0,0.06,0.0,0.14,0.0
ajay-mitchell,Sat 12/11,@SMC,L80-59,30.0,2-3,66.7,0-0,0.0,0-0,0.0,3.0,1.0,0.0,0.0,4.0,4.0,4.0,0.1,0.03,0.0,0.0,0.13,0.13,0.13
ajay-mitchell,Sun 12/5,vsCLU,W87-66,28.0,3-5,60.0,0-2,0.0,3-5,60.0,2.0,8.0,2.0,1.0,1.0,1.0,9.0,0.07,0.29,0.07142857142857142,0.04,0.04,0.32,0.04
ajay-mitchell,Fri 12/3,vsPEPP,W86-74,26.0,1-2,50.0,0-1,0.0,2-2,100.0,1.0,4.0,0.0,1.0,2.0,4.0,4.0,0.04,0.15,0.0,0.04,0.08,0.15,0.15
ajay-mitchell,Mon 11/29,vsUTA,L70-62,28.0,0-3,0.0,0-2,0.0,0-2,0.0,1.0,4.0,1.0,0.0,4.0,2.0,0.0,0.04,0.14,0.03571428571428571,0.0,0.14,0.0,0.07
ajay-mitchell,Wed 11/24,vsUAPB,W86-58,28.0,2-3,66.7,1-1,100.0,2-2,100.0,3.0,10.0,0.0,2.0,2.0,0.0,7.0,0.11,0.36,0.0,0.07,0.07,0.25,0.0
ajay-mitchell,Sat 11/20,vsCHIC,W81-50,25.0,3-3,100.0,2-2,100.0,2-2,100.0,3.0,4.0,0.0,1.0,2.0,3.0,10.0,0.12,0.16,0.0,0.04,0.08,0.4,0.12
ajay-mitchell,Mon 11/15,@WSU,L73-65,25.0,2-3,66.7,0-1,0.0,2-3,66.7,0.0,2.0,0.0,0.0,3.0,1.0,6.0,0.0,0.08,0.0,0.0,0.12,0.24,0.04
ajay-mitchell,Wed 11/10,vsSFSU,W119-65,23.0,4-5,80.0,2-3,66.7,1-1,100.0,1.0,5.0,0.0,1.0,1.0,1.0,11.0,0.04,0.22,0.0,0.04,0.04,0.48,0.04
amadou-sow,Fri 3/11,vsLBSU,L67-64,31.0,2-6,33.3,0-0,0.0,1-3,33.3,6.0,0.0,0.0,1.0,1.0,2.0,5.0,0.19,0.0,0.0,0.03,0.03,0.16,0.06
amadou-sow,Thu 3/10,vsUCI,W78-69,34.0,10-16,62.5,0-0,0.0,1-2,50.0,16.0,2.0,2.0,0.0,2.0,2.0,21.0,0.47,0.06,0.058823529411764705,0.0,0.06,0.62,0.06
amadou-sow,Thu 3/3,vsHAW,W67-60,34.0,6-7,85.7,0-0,0.0,2-2,100.0,7.0,2.0,1.0,2.0,2.0,2.0,14.0,0.21,0.06,0.029411764705882353,0.06,0.06,0.41,0.06
amadou-sow,Tue 3/1,vsCSUN,W70-61,26.0,12-15,80.0,0-0,0.0,2-3,66.7,7.0,0.0,0.0,1.0,3.0,2.0,26.0,0.27,0.0,0.0,0.04,0.12,1.0,0.08
amadou-sow,Sat 2/26,@UCR,W97-90 2OT,40.0,10-18,55.6,0-4,0.0,5-6,83.3,9.0,2.0,0.0,2.0,3.0,2.0,25.0,0.23,0.05,0.0,0.05,0.07,0.62,0.05
amadou-sow,Thu 2/24,@UCD,W76-69 OT,36.0,7-17,41.2,0-1,0.0,3-5,60.0,11.0,0.0,2.0,0.0,4.0,3.0,17.0,0.31,0.0,0.05555555555555555,0.0,0.11,0.47,0.08
amadou-sow,Sat 2/19,vsLBSU,W84-71,29.0,9-12,75.0,0-0,0.0,0-0,0.0,9.0,0.0,0.0,0.0,4.0,1.0,18.0,0.31,0.0,0.0,0.0,0.14,0.62,0.03
amadou-sow,Thu 2/17,vsCSUF,L67-58,31.0,5-8,62.5,0-0,0.0,1-1,100.0,7.0,1.0,0.0,1.0,5.0,2.0,11.0,0.23,0.03,0.0,0.03,0.16,0.35,0.06
amadou-sow,Sat 2/12,@CP,W69-64,34.0,8-14,57.1,0-3,0.0,0-0,0.0,8.0,2.0,1.0,2.0,4.0,0.0,16.0,0.24,0.06,0.029411764705882353,0.06,0.12,0.47,0.0
amadou-sow,Thu 2/10,@CSUB,W74-62,31.0,4-5,80.0,0-0,0.0,6-7,85.7,6.0,1.0,0.0,1.0,2.0,1.0,14.0,0.19,0.03,0.0,0.03,0.06,0.45,0.03
amadou-sow,Sat 2/5,vsUCSD,W84-48,22.0,1-4,25.0,0-1,0.0,1-1,100.0,7.0,0.0,1.0,1.0,2.0,3.0,3.0,0.32,0.0,0.045454545454545456,0.05,0.09,0.14,0.14
amadou-sow,Thu 2/3,vsUCI,L53-52,33.0,4-13,30.8,0-5,0.0,9-11,81.8,11.0,0.0,0.0,0.0,0.0,2.0,17.0,0.33,0.0,0.0,0.0,0.0,0.52,0.06
amadou-sow,Sat 1/29,@HAW,L65-62,34.0,5-19,26.3,0-1,0.0,3-4,75.0,13.0,0.0,1.0,1.0,3.0,3.0,13.0,0.38,0.0,0.029411764705882353,0.03,0.09,0.38,0.09
amadou-sow,Tue 1/25,@CSUN,W72-45,26.0,8-12,66.7,1-1,100.0,0-0,0.0,4.0,1.0,0.0,0.0,3.0,4.0,17.0,0.15,0.04,0.0,0.0,0.12,0.65,0.15
amadou-sow,Sat 1/15,@CSUF,L79-73,20.0,2-5,40.0,1-2,50.0,2-2,100.0,7.0,1.0,1.0,1.0,3.0,1.0,7.0,0.35,0.05,0.05,0.05,0.15,0.35,0.05
amadou-sow,Thu 1/13,@LBSU,L65-58,31.0,4-9,44.4,1-3,33.3,0-0,0.0,14.0,0.0,0.0,0.0,1.0,4.0,9.0,0.45,0.0,0.0,0.0,0.03,0.29,0.13
amadou-sow,Thu 12/30,@UCSD,L85-83 OT,39.0,8-17,47.1,0-0,0.0,2-3,66.7,9.0,2.0,4.0,2.0,2.0,2.0,18.0,0.23,0.05,0.10256410256410256,0.05,0.05,0.46,0.05
amadou-sow,Wed 12/22,vsIDST,W56-43,28.0,8-11,72.7,0-0,0.0,2-2,100.0,3.0,0.0,0.0,1.0,4.0,2.0,18.0,0.11,0.0,0.0,0.04,0.14,0.64,0.07
amadou-sow,Sun 12/19,vsFAMU,W73-62,28.0,4-8,50.0,1-1,100.0,0-0,0.0,10.0,0.0,3.0,0.0,0.0,1.0,9.0,0.36,0.0,0.10714285714285714,0.0,0.0,0.32,0.04
amadou-sow,Tue 12/14,@PAC,L80-71 OT,33.0,5-13,38.5,1-4,25.0,0-0,0.0,9.0,1.0,2.0,0.0,1.0,0.0,11.0,0.27,0.03,0.06060606060606061,0.0,0.03,0.33,0.0
amadou-sow,Sat 12/11,@SMC,L80-59,29.0,4-9,44.4,1-1,100.0,6-6,100.0,7.0,1.0,1.0,0.0,1.0,3.0,15.0,0.24,0.03,0.034482758620689655,0.0,0.03,0.52,0.1
amadou-sow,Sun 12/5,vsCLU,W87-66,19.0,8-9,88.9,0-0,0.0,1-1,100.0,8.0,1.0,1.0,1.0,2.0,1.0,17.0,0.42,0.05,0.05263157894736842,0.05,0.11,0.89,0.05
amadou-sow,Fri 12/3,vsPEPP,W86-74,30.0,5-10,50.0,1-2,50.0,0-1,0.0,9.0,0.0,0.0,1.0,3.0,3.0,11.0,0.3,0.0,0.0,0.03,0.1,0.37,0.1
amadou-sow,Mon 11/29,vsUTA,L70-62,33.0,10-15,66.7,1-1,100.0,2-6,33.3,7.0,1.0,0.0,0.0,3.0,4.0,23.0,0.21,0.03,0.0,0.0,0.09,0.7,0.12
amadou-sow,Wed 11/24,vsUAPB,W86-58,24.0,9-12,75.0,0-0,0.0,2-2,100.0,9.0,0.0,0.0,1.0,3.0,1.0,20.0,0.38,0.0,0.0,0.04,0.12,0.83,0.04
amadou-sow,Sat 11/20,vsCHIC,W81-50,23.0,5-6,83.3,1-1,100.0,2-2,100.0,4.0,2.0,1.0,1.0,3.0,1.0,13.0,0.17,0.09,0.043478260869565216,0.04,0.13,0.57,0.04
amadou-sow,Mon 11/15,@WSU,L73-65,33.0,8-16,50.0,0-1,0.0,9-11,81.8,11.0,0.0,0.0,1.0,3.0,1.0,25.0,0.33,0.0,0.0,0.03,0.09,0.76,0.03
amadou-sow,Wed 11/10,vsSFSU,W119-65,21.0,9-13,69.2,1-1,100.0,6-8,75.0,7.0,0.0,2.0,0.0,2.0,2.0,25.0,0.33,0.0,0.09523809523809523,0.0,0.1,1.19,0.1
ariel-bland,Sat 2/5,vsUCSD,W84-48,3.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0
ariel-bland,Thu 2/3,vsUCI,L53-52,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5
ariel-bland,Sat 1/29,@HAW,L65-62,2.0,0-0,0.0,0-0,0.0,0-2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
ariel-bland,Tue 1/25,@CSUN,W72-45,9.0,1-2,50.0,0-0,0.0,0-0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.22,0.0,0.0,0.0,0.0,0.22,0.0
ariel-bland,Sat 1/15,@CSUF,L79-73,12.0,0-1,0.0,0-0,0.0,0-0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.17,0.0,0.08333333333333333,0.0,0.17,0.0,0.0
ariel-bland,Thu 1/13,@LBSU,L65-58,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ariel-bland,Sun 12/5,vsCLU,W87-66,6.0,3-3,100.0,0-0,0.0,0-0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.33,0.0,0.0,0.0,0.0,1.0,0.0
ariel-bland,Sat 11/20,vsCHIC,W81-50,3.0,1-2,50.0,0-0,0.0,0-0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.67,0.33,0.3333333333333333,0.0,0.0,0.67,0.0
calvin-wishart,Fri 3/11,vsLBSU,L67-64,33.0,3-6,50.0,1-4,25.0,0-0,0.0,5.0,4.0,1.0,0.0,4.0,2.0,7.0,0.15,0.12,0.030303030303030304,0.0,0.12,0.21,0.06
calvin-wishart,Thu 3/10,vsUCI,W78-69,34.0,5-6,83.3,2-3,66.7,2-2,100.0,3.0,5.0,0.0,2.0,2.0,1.0,14.0,0.09,0.15,0.0,0.06,0.06,0.41,0.03
calvin-wishart,Thu 3/3,vsHAW,W67-60,19.0,1-2,50.0,0-0,0.0,1-2,50.0,2.0,0.0,0.0,1.0,3.0,1.0,3.0,0.11,0.0,0.0,0.05,0.16,0.16,0.05
calvin-wishart,Tue 3/1,vsCSUN,W70-61,31.0,1-4,25.0,0-0,0.0,1-2,50.0,2.0,5.0,0.0,0.0,1.0,1.0,3.0,0.06,0.16,0.0,0.0,0.03,0.1,0.03
calvin-wishart,Sat 2/26,@UCR,W97-90 2OT,42.0,4-5,80.0,2-3,66.7,5-6,83.3,3.0,1.0,0.0,0.0,4.0,3.0,15.0,0.07,0.02,0.0,0.0,0.1,0.36,0.07
calvin-wishart,Thu 2/24,@UCD,W76-69 OT,40.0,0-5,0.0,0-1,0.0,0-0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.05,0.03,0.0,0.05,0.03,0.0,0.03
calvin-wishart,Sat 2/19,vsLBSU,W84-71,23.0,6-8,75.0,3-4,75.0,3-4,75.0,4.0,0.0,0.0,1.0,3.0,1.0,18.0,0.17,0.0,0.0,0.04,0.13,0.78,0.04
calvin-wishart,Thu 2/17,vsCSUF,L67-58,33.0,3-6,50.0,1-4,25.0,3-4,75.0,3.0,1.0,0.0,1.0,2.0,1.0,10.0,0.09,0.03,0.0,0.03,0.06,0.3,0.03
